scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1011,20,2,OPTIMAL,-1346292.1005377686,-972.1370127046148,0.0,-1345319.9635250638,0.0,0.0067517999999999745,0.0070002079010009766,2,False,True,1.7294214499280415e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1011,30,2,OPTIMAL,-4040423.413022448,-694.3008607253548,0.0,-4039729.1121617225,0.0,0.010004999999999986,0.01100015640258789,3,False,True,0.0,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1011,40,2,OPTIMAL,-9517316.724527432,90.35587497163397,0.0,-9517407.080402404,0.0,0.01300119999999999,0.013000011444091797,4,False,True,0.0,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1011,50,2,OPTIMAL,-18055986.659069866,456.3172210372213,0.0,-18056442.9762909,0.0,0.02704000000000001,0.026000022888183594,5,False,True,2.0631884420398758e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1011,20,2,OPTIMAL,-870772.2835262348,205483.68729381618,269063.9927050128,-1076255.9708200512,0.0,0.006705500000000031,0.006999969482421875,2,False,False,2.6738407739737716e-16,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1011,30,2,OPTIMAL,-3462189.839925109,577539.2722366134,0.0,-4039729.1121617225,0.0,0.01235200000000003,0.012000083923339844,3,False,True,0.0,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1011,40,2,OPTIMAL,-8660792.322739275,856614.7576631276,0.0,-9517407.080402404,0.0,0.016302800000000006,0.016000032424926758,4,False,True,2.1506636804354535e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1011,50,2,OPTIMAL,-17035331.314837955,1021111.6614529423,0.0,-18056442.9762909,0.0,0.02646360000000003,0.026000022888183594,5,False,True,2.186802375376842e-16,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1011,20,2,OPTIMAL,-2690800.1784187797,-160.25136865238505,0.0,-2690639.9270501276,0.0,0.005193400000000015,0.004999876022338867,3,False,True,1.7305680705780992e-16,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1011,30,2,OPTIMAL,-10502318.467246206,977.2243742704636,0.0,-10503295.691620477,0.0,0.005157999999999996,0.003999948501586914,5,False,True,0.0,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1011,40,2,OPTIMAL,-20712594.705648206,1761.8811099674522,0.0,-20714356.58675817,0.0,0.005752399999999991,0.005000114440917969,6,False,True,1.7985628316504685e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1011,50,2,OPTIMAL,-34721800.9581034,2127.8424560330404,0.0,-34723928.800559424,0.0,0.012055000000000038,0.012000083923339844,7,False,True,4.2915864911004884e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1011,20,2,OPTIMAL,-1345792.1005377686,-472.1370127046148,0.0,-1345319.9635250638,0.0,0.0068717999999999835,0.006999969482421875,2,True,True,1.7300639791304484e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1011,30,2,OPTIMAL,-4039923.413022448,-194.30086072535482,0.0,-4039729.1121617225,0.0,0.01096929999999996,0.010999917984008789,3,True,True,0.0,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1011,40,2,OPTIMAL,-9516816.724527434,590.355874971634,0.0,-9517407.080402404,0.0,0.012735400000000008,0.011999845504760742,4,True,True,1.9572144795332796e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1011,50,2,OPTIMAL,-18055486.659069866,956.3172210372213,0.0,-18056442.9762909,0.0,0.03041550000000004,0.03000020980834961,5,True,True,2.063245576707055e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
