scenario_id,scenario_name,feature_size_N,seed,seed_regime_used_by_runner,master_generation_N
2,S2_risk_adjusted,20,1010,core,50
2,S2_risk_adjusted,20,1011,core,50
2,S2_risk_adjusted,20,1012,core,50
2,S2_risk_adjusted,20,1013,core,50
2,S2_risk_adjusted,20,1014,core,50
2,S2_risk_adjusted,20,1015,core,50
2,S2_risk_adjusted,20,1016,core,50
2,S2_risk_adjusted,20,1017,core,50
2,S2_risk_adjusted,20,1018,core,50
2,S2_risk_adjusted,20,1019,core,50
2,S2_risk_adjusted,30,1000,core,50
2,S2_risk_adjusted,30,1001,core,50
2,S2_risk_adjusted,30,1002,core,50
2,S2_risk_adjusted,30,1003,core,50
2,S2_risk_adjusted,30,1004,core,50
2,S2_risk_adjusted,30,1005,core,50
2,S2_risk_adjusted,30,1006,core,50
2,S2_risk_adjusted,30,1007,core,50
2,S2_risk_adjusted,30,1008,core,50
2,S2_risk_adjusted,30,1009,core,50
2,S2_risk_adjusted,30,1010,core,50
2,S2_risk_adjusted,30,1011,core,50
2,S2_risk_adjusted,30,1012,core,50
2,S2_risk_adjusted,30,1013,core,50
2,S2_risk_adjusted,30,1014,core,50
2,S2_risk_adjusted,30,1015,core,50
2,S2_risk_adjusted,30,1016,core,50
2,S2_risk_adjusted,30,1017,core,50
2,S2_risk_adjusted,30,1018,core,50
2,S2_risk_adjusted,30,1019,core,50
2,S2_risk_adjusted,40,1000,core,50
2,S2_risk_adjusted,40,1001,core,50
2,S2_risk_adjusted,40,1002,core,50
2,S2_risk_adjusted,40,1003,core,50
2,S2_risk_adjusted,40,1004,core,50
2,S2_risk_adjusted,40,1005,core,50
2,S2_risk_adjusted,40,1006,core,50
2,S2_risk_adjusted,40,1007,core,50
2,S2_risk_adjusted,40,1008,core,50
2,S2_risk_adjusted,40,1009,core,50
2,S2_risk_adjusted,40,1010,core,50
2,S2_risk_adjusted,40,1011,core,50
2,S2_risk_adjusted,40,1012,core,50
2,S2_risk_adjusted,40,1013,core,50
2,S2_risk_adjusted,40,1014,core,50
2,S2_risk_adjusted,40,1015,core,50
2,S2_risk_adjusted,40,1016,core,50
2,S2_risk_adjusted,40,1017,core,50
