scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1010,20,2,OPTIMAL,-1483641.937820247,-758.5425285719994,0.0,-1482883.395291675,0.0,0.009571099999999999,0.009999990463256836,2,False,True,1.5693182951942047e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1010,30,2,OPTIMAL,-4322135.144506625,-129.00685876138277,0.0,-4322006.1376478635,0.0,0.011998100000000012,0.010999917984008789,3,False,True,0.0,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1010,40,2,OPTIMAL,-9893551.064264558,200.27917927882982,0.0,-9893751.343443835,0.0,0.013037599999999983,0.011999845504760742,4,False,True,1.8826861428540244e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1010,50,2,OPTIMAL,-19275984.164775625,1074.8482931407389,0.0,-19277059.01306876,0.0,0.014974900000000013,0.014999866485595703,5,False,True,1.932607054777209e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1010,20,2,OPTIMAL,-826162.8149622837,360143.9012710563,296576.679058335,-1186306.71623334,0.0,0.005004799999999976,0.004000186920166016,2,False,False,0.0,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1010,30,2,OPTIMAL,-3266457.6090745316,623347.9148085456,432200.61376478634,-3889805.523883077,0.0,0.009686699999999993,0.009000062942504883,3,False,False,1.4255849701342753e-16,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1010,40,2,OPTIMAL,-8638657.68514991,1255093.658293927,0.0,-9893751.343443835,0.0,0.011096099999999998,0.009999990463256836,4,False,True,2.1561742774376801e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1010,50,2,OPTIMAL,-17524931.11068129,1752127.9023874702,0.0,-19277059.01306876,0.0,0.014015900000000026,0.01399993896484375,5,False,True,0.0,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1010,20,2,OPTIMAL,-2963802.4320746893,1964.3585086605271,0.0,-2965766.7905833498,0.0,0.005583000000000005,0.005000114440917969,3,False,True,0.0,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1010,30,2,OPTIMAL,-11233747.494592112,3468.463292333053,0.0,-11237215.957884446,0.0,0.005101299999999975,0.005000114440917969,5,False,True,1.6580799507267082e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1010,40,2,OPTIMAL,-21529661.056988563,3797.7493303732654,0.0,-21533458.806318935,0.0,0.005307499999999965,0.004999876022338867,6,False,True,0.0,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1010,50,2,OPTIMAL,-27428940.07695979,3797.7493303732654,0.0,-27432737.82629016,0.0,0.012933799999999995,0.013000011444091797,6,False,True,0.0,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1010,20,2,OPTIMAL,-1483141.937820247,-258.54252857199936,0.0,-1482883.395291675,0.0,0.006814399999999998,0.006999969482421875,2,True,True,1.5698473471531496e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1010,30,2,OPTIMAL,-4321635.144506625,370.9931412386172,0.0,-4322006.1376478635,0.0,0.010719800000000002,0.010000228881835938,3,True,True,0.0,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1010,40,2,OPTIMAL,-9893051.064264558,700.2791792788298,0.0,-9893751.343443835,0.0,0.01411469999999998,0.01399993896484375,4,True,True,1.8827812948011147e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1010,50,2,OPTIMAL,-19275484.164775625,1574.8482931407389,0.0,-19277059.01306876,0.0,0.015174100000000024,0.01399993896484375,5,True,True,1.9326571859966963e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
