benchmark_family,instance_id,seed,N,sa_raw_objective,sa_echo_raw_objective,pair_complete,gap_echo_to_sa,echo_beats_sa,echo_ties_sa,echo_loses_sa,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
spectral_dense,spectral_dense_N100_k1e2_seed1000,1000,100,0.3551514107378864,0.0,1,-0.3551514107378864,1,0,0,-0.0099999999999999,1.0,9999.999999996227,30,,,,,1.0,100.0,0.3,200000,32180,32180,0.1609,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1001,1001,100,0.3349321450115057,0.0,1,-0.3349321450115057,1,0,0,-0.0099999999999999,0.9999999999999992,9999.999999998576,30,,,,,1.0,100.0,0.3,200000,32842,32842,0.16421,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1002,1002,100,0.2279442720348446,0.0,1,-0.2279442720348446,1,0,0,-0.0099999999999999,1.0000000000000022,9999.999999999858,30,,,,,1.0,100.0,0.3,200000,32708,32708,0.16354,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1003,1003,100,0.2025830651118853,0.0,1,-0.2025830651118853,1,0,0,-0.0099999999999999,1.000000000000001,9999.99999999794,30,,,,,1.0,100.0,0.3,200000,32869,32869,0.164345,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1004,1004,100,0.334334923224453,0.0,1,-0.334334923224453,1,0,0,-0.01,0.9999999999999988,9999.999999999696,30,,,,,1.0,100.0,0.3,200000,32999,32999,0.164995,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1005,1005,100,0.2672957341551354,0.0,1,-0.2672957341551354,1,0,0,-0.0099999999999999,1.0000000000000009,9999.999999997184,30,,,,,1.0,100.0,0.3,200000,31759,31759,0.158795,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1006,1006,100,0.3204458813325544,0.0,1,-0.3204458813325544,1,0,0,-0.01,1.000000000000001,10000.000000003329,30,,,,,1.0,100.0,0.3,200000,34048,34048,0.17024,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1007,1007,100,0.2858629542629248,0.0,1,-0.2858629542629248,1,0,0,-0.01,0.9999999999999982,9999.9999999998,30,,,,,1.0,100.0,0.3,200000,32235,32235,0.161175,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1008,1008,100,0.1579163321592969,0.0,1,-0.1579163321592969,1,0,0,-0.01,1.0000000000000016,10000.000000002728,30,,,,,1.0,100.0,0.3,200000,32203,32203,0.161015,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1009,1009,100,0.2884045259324858,0.0,1,-0.2884045259324858,1,0,0,-0.01,0.9999999999999994,10000.000000002134,30,,,,,1.0,100.0,0.3,200000,33320,33320,0.1666,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1010,1010,100,0.367911392460641,0.0,1,-0.367911392460641,1,0,0,-0.0099999999999999,0.9999999999999984,9999.999999997435,30,,,,,1.0,100.0,0.3,200000,31936,31936,0.15968,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1011,1011,100,0.2971380118243059,0.0,1,-0.2971380118243059,1,0,0,-0.0099999999999999,0.9999999999999992,10000.000000000173,30,,,,,1.0,100.0,0.3,200000,33726,33726,0.16863,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1012,1012,100,0.2738376436037477,0.0,1,-0.2738376436037477,1,0,0,-0.0099999999999999,1.000000000000001,10000.000000002336,30,,,,,1.0,100.0,0.3,200000,33524,33524,0.16762,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1013,1013,100,0.3421144370389352,0.0,1,-0.3421144370389352,1,0,0,-0.01,1.0000000000000002,10000.00000000308,30,,,,,1.0,100.0,0.3,200000,32499,32499,0.162495,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1014,1014,100,0.0,0.0,1,0.0,0,1,0,-0.01,0.9999999999999988,9999.999999998936,30,,,,,1.0,100.0,0.3,200000,33470,33470,0.16735,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1015,1015,100,0.3280935322343832,0.0,1,-0.3280935322343832,1,0,0,-0.01,1.0000000000000009,10000.000000002898,30,,,,,1.0,100.0,0.3,200000,32722,32722,0.16361,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1016,1016,100,0.2771284154575059,0.0,1,-0.2771284154575059,1,0,0,-0.0099999999999999,0.9999999999999976,10000.000000005844,30,,,,,1.0,100.0,0.3,200000,32440,32440,0.1622,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1017,1017,100,0.2733544032131195,0.0,1,-0.2733544032131195,1,0,0,-0.0099999999999999,1.0000000000000009,9999.999999997388,30,,,,,1.0,100.0,0.3,200000,34876,34876,0.17438,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1018,1018,100,0.3413177976935371,0.0,1,-0.3413177976935371,1,0,0,-0.0099999999999999,0.9999999999999982,9999.999999998176,30,,,,,1.0,100.0,0.3,200000,32722,32722,0.16361,100.0,8,1
spectral_dense,spectral_dense_N100_k1e2_seed1019,1019,100,0.2482712525380786,0.0,1,-0.2482712525380786,1,0,0,-0.01,1.0,10000.000000001311,30,,,,,1.0,100.0,0.3,200000,31513,31513,0.157565,100.0,8,1
spectral_dense,spectral_dense_N100_k1e4_seed1000,1000,100,0.1146383034318276,0.0,1,-0.1146383034318276,1,0,0,-0.0001,1.0,99999999.96586508,30,,,,,1.0,10000.0,0.3,200000,34732,34732,0.17366,100.0,8,1
spectral_dense,spectral_dense_N100_k1e4_seed1001,1001,100,0.1064941879135759,0.0,1,-0.1064941879135759,1,0,0,-9.999999999997652e-05,1.0000000000000002,100000000.15644763,30,,,,,1.0,10000.0,0.3,200000,35060,35060,0.1753,100.0,8,2
spectral_dense,spectral_dense_N100_k1e4_seed1002,1002,100,0.106725388466905,0.0,1,-0.106725388466905,1,0,0,-0.0001,1.000000000000001,100000000.15109526,30,,,,,1.0,10000.0,0.3,200000,34755,34755,0.173775,100.0,8,1
spectral_dense,spectral_dense_N100_k1e4_seed1003,1003,100,0.129154470638913,0.0,1,-0.129154470638913,1,0,0,-9.999999999999312e-05,1.0000000000000009,99999999.98557971,30,,,,,1.0,10000.0,0.3,200000,35318,35318,0.17659,100.0,8,2
