scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1017,20,2,OPTIMAL,-1116105.5329455012,-560.3334187695946,0.0,-1115545.1995267314,0.0,0.0069141999999999815,0.006000041961669922,2,False,True,2.0860988211339566e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1017,30,2,OPTIMAL,-3064891.8216940854,84.49379809557558,0.0,-3064976.3154921816,0.0,0.011082199999999987,0.01100015640258789,3,False,True,1.519340043298331e-16,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1017,40,2,OPTIMAL,-7379641.712215489,653.2305846214699,0.0,-7380294.94280011,0.0,0.015155499999999988,0.015000104904174805,4,False,True,0.0,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1017,50,2,OPTIMAL,-13185047.262146033,1353.3379028062282,0.0,-13186400.600048842,0.0,0.027638600000000013,0.026999950408935547,5,False,True,1.4126950872436904e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1017,20,2,OPTIMAL,-779980.8245354611,112455.33508592405,223109.0399053463,-892436.1596213852,0.0,0.0054395000000000415,0.004999876022338867,2,False,False,0.0,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1017,30,2,OPTIMAL,-2365605.5794691783,392873.1044737848,306497.63154921815,-2758478.6839429634,0.0,0.007303800000000027,0.006999969482421875,3,False,False,1.9684654591160953e-16,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1017,40,2,OPTIMAL,-6324398.2993056625,621761.6468591468,434134.9966353006,-6946159.946164809,0.0,0.011942500000000023,0.012000083923339844,4,False,False,0.0,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1017,50,2,OPTIMAL,-11724320.410902563,954910.9352982446,507169.2538480323,-12679231.346200809,0.0,0.01642889999999997,0.01699995994567871,5,False,False,0.0,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1017,20,2,OPTIMAL,-2228185.595179394,2904.803874068578,0.0,-2231090.399053463,0.0,0.0073094000000000214,0.006999969482421875,3,False,True,2.0898675959272966e-16,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1017,30,2,OPTIMAL,-7964217.732122674,4720.68815699703,0.0,-7968938.420279671,0.0,0.0050212000000000034,0.003999948501586914,5,False,True,1.1693836180031916e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1017,40,2,OPTIMAL,-16057705.450562594,5289.424943522923,0.0,-16062994.875506122,0.0,0.005531100000000011,0.005000114440917969,6,False,True,2.31993936489313e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1017,50,2,OPTIMAL,-25353760.122665353,4702.569736269055,0.0,-25358462.692401614,0.0,0.01160509999999998,0.012000083923339844,7,False,True,2.9386491632313254e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1017,20,2,OPTIMAL,-1115605.5329455012,-60.33341876959457,0.0,-1115545.1995267314,0.0,0.006679299999999999,0.006999969482421875,2,True,True,2.0870337836989171e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1017,30,2,OPTIMAL,-3064391.8216940854,584.4937980955756,0.0,-3064976.3154921816,0.0,0.012221199999999988,0.012000083923339844,3,True,True,1.5195879456769602e-16,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1017,40,2,OPTIMAL,-7379141.712215489,1153.23058462147,0.0,-7380294.94280011,0.0,0.013239799999999968,0.013000011444091797,4,True,True,0.0,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1017,50,2,OPTIMAL,-13184547.262146033,1853.3379028062282,0.0,-13186400.600048842,0.0,0.028320100000000015,0.0279998779296875,5,True,True,1.4127486611381577e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
