scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1013,20,2,OPTIMAL,-1506821.248540038,-385.41355582005417,0.0,-1506435.834984218,0.0,0.007105399999999984,0.00599980354309082,2,False,True,0.0,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1013,30,2,OPTIMAL,-4796823.274824429,326.3621965930006,0.0,-4797149.637021022,0.0,0.014188100000000037,0.01399993896484375,3,False,True,0.0,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1013,40,2,OPTIMAL,-11729884.390976273,1663.4455250014598,0.0,-11731547.83650127,0.0,0.0135189,0.012000083923339844,4,False,True,3.1758968582228796e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1013,50,2,OPTIMAL,-22268494.00669682,2051.462375526516,0.0,-22270545.469072346,0.0,0.013925800000000044,0.013000011444091797,5,False,True,0.0,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1013,20,2,OPTIMAL,-1085379.3141334355,119769.35385393874,301287.1669968436,-1205148.6679873744,0.0,0.005078799999999994,0.003999948501586914,2,False,False,2.145154607444874e-16,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1013,30,2,OPTIMAL,-3701360.7427345156,616073.9305844043,479714.9637021022,-4317434.67331892,0.0,0.010135700000000025,0.009999990463256836,3,False,False,0.0,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1013,40,2,OPTIMAL,-9800971.499437805,1240485.2878575095,690091.0492059571,-11041456.787295314,0.0,0.011169399999999996,0.010999917984008789,4,False,False,1.900469917025879e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1013,50,2,OPTIMAL,-19998578.51001976,2271966.9590525823,0.0,-22270545.469072346,0.0,0.010957500000000009,0.01100015640258789,5,False,True,1.8627775452117536e-16,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1013,20,2,OPTIMAL,-3010243.7959759915,2627.8739924438178,0.0,-3012871.669968436,0.0,0.005759499999999973,0.006000041961669922,3,False,True,1.5469221726500095e-16,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1013,30,2,OPTIMAL,-12467912.323181393,4676.733073265333,0.0,-12472589.056254655,0.0,0.005296199999999973,0.005000114440917969,5,False,True,2.987902226049136e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1013,40,2,OPTIMAL,-25525259.595700704,8109.224919713601,0.0,-25533368.820620414,0.0,0.0072206000000000214,0.0070002079010009766,6,False,True,1.4594524629592312e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1013,50,2,OPTIMAL,-31687634.571448397,5064.7499237903885,0.0,-31692699.32137218,0.0,0.01168020000000003,0.010999917984008789,6,False,True,2.3512580530820204e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1013,20,2,OPTIMAL,-1506321.248540038,114.58644417994583,0.0,-1506435.834984218,0.0,0.007628500000000038,0.006999969482421875,2,True,True,0.0,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1013,30,2,OPTIMAL,-4796323.274824429,826.3621965930006,0.0,-4797149.637021022,0.0,0.010556200000000016,0.009999990463256836,3,True,True,0.0,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1013,40,2,OPTIMAL,-11729384.390976273,2163.44552500146,0.0,-11731547.83650127,0.0,0.013369200000000026,0.013000011444091797,4,True,True,3.1760322403005897e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1013,50,2,OPTIMAL,-22267994.00669682,2551.462375526516,0.0,-22270545.469072346,0.0,0.014294100000000032,0.013000011444091797,5,True,True,0.0,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
