benchmark_family,instance_id,seed,N,solver,raw_objective,energy_total,is_feasible,runtime_sec,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
maxcut,maxcut_N50_seed1013,1013,50,sa,-92.68690444691073,-92.68690444691073,1,0.743,-15.58543143072035,12.509556600406468,1435.2441623236336,27,0.5,639,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1014,1014,50,sa,-92.444104025692,-92.444104025692,1,0.773,-16.49662189472795,12.99136685324243,83.79676391871887,27,0.5,659,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1015,1015,50,sa,-79.10861629805117,-79.10861629805117,1,0.755,-13.904320577523043,13.255516420975457,179.6204753742585,21,0.5,577,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1016,1016,50,sa,-85.1325915768314,-85.1325915768314,1,0.74,-12.596021323847914,14.977668881287887,8990.299249737396,25,0.5,605,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1017,1017,50,sa,-82.85710368524526,-82.85710368524526,1,0.765,-16.661856977994425,15.003586585401191,883.4465459257359,22,0.5,641,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1018,1018,50,sa,-88.18036529501124,-88.18036529501124,1,0.733,-13.555520121244307,16.2299609086163,1006.98848747982,23,0.5,627,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N50_seed1019,1019,50,sa,-86.17449282863942,-86.17449282863942,1,0.77,-14.574885484948357,13.061953548157971,135.57400121678478,24,0.5,603,,,1.0,,,100000,100000,,,,,
maxcut,maxcut_N100_seed1000,1000,100,sa,-239.76771259231379,-239.76771259231379,1,1.839,-18.216934537751214,28.670333065492024,826.7302778924195,46,0.5,2464,,,1.0,,,200000,200000,,,,,
maxcut,maxcut_N100_seed1001,1001,100,sa,-284.708383632581,-284.708383632581,1,1.756,-24.847089020072673,20.069952598844296,1598.282474511761,53,0.5,2515,,,1.0,,,200000,200000,,,,,
maxcut,maxcut_N100_seed1002,1002,100,sa,-207.99943244704684,-207.99943244704684,1,1.926,-17.85343824471079,25.473740367493363,202.8458261866694,43,0.5,2497,,,1.0,,,200000,200000,,,,,
maxcut,maxcut_N100_seed1003,1003,100,sa,-193.8330195163679,-193.8330195163679,1,1.787,-19.370619870815624,23.648964905312575,4153.318148219247,40,0.5,2411,,,1.0,,,200000,200000,,,,,
