benchmark_family,instance_id,seed,N,solver,raw_objective,energy_total,is_feasible,runtime_sec,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
portfolio_card,portfolio_card_N50_seed1000,1000,50,sa,-586.5630980979031,-586.5630980979031,1,0.853,-146.114681941629,308.10356230209254,2.1363071559885594,49,,,0.15,8,9.073051255113446,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1001,1001,50,sa,-549.7606592888162,-549.7606592888162,1,0.75,-137.01527446540413,288.75572737091863,2.1401778683330726,49,,,0.15,8,8.503910820307418,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1002,1002,50,sa,-542.1433721386398,-542.1433721386398,1,0.788,-135.18281686176456,284.9394949283563,2.134259513473405,49,,,0.15,8,8.390570768920496,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1003,1003,50,sa,-588.8588110075244,-588.8588110075244,1,0.812,-146.74867258834004,309.35011528152916,2.1331890402415037,49,,,0.15,8,9.112173551970418,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1004,1004,50,sa,-608.9719982235374,-608.9719982235374,1,0.791,-151.86590225818912,320.2366458840777,2.138787834748222,49,,,0.15,8,9.43091371021851,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1005,1005,50,sa,-577.3993575060769,-577.3993575060769,1,0.767,-143.84940436525847,303.2340699309894,2.141494030148337,49,,,0.15,8,8.931946396291007,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1006,1006,50,sa,-541.7104575943584,-541.7104575943584,1,0.873,-135.07031824134876,284.732161430352,2.1413336647083407,49,,,0.15,8,8.384398851017243,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1007,1007,50,sa,-567.1589985550625,-567.1589985550625,1,0.787,-141.28128185724378,297.7412100371289,2.1367256196364006,49,,,0.15,8,8.770270280725134,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1008,1008,50,sa,-595.6913061565157,-595.6913061565157,1,0.789,-148.52538770345055,313.2088975372933,2.14255319218792,49,,,0.15,8,9.222374211226857,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1009,1009,50,sa,-594.4702593799227,-594.4702593799227,1,0.775,-148.05198808107792,312.1145282133025,2.1377436724071006,49,,,0.15,8,9.193620048887073,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1010,1010,50,sa,-587.7728655430045,-587.7728655430045,1,0.792,-146.3571301554126,308.487709762867,2.136396862368478,49,,,0.15,8,9.08712920243065,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1011,1011,50,sa,-595.1334555477404,-595.1334555477404,1,0.792,-148.36157748849703,312.8723128075869,2.1388563837808894,49,,,0.15,8,9.211832959366518,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1012,1012,50,sa,-574.8030601170748,-574.8030601170748,1,0.776,-143.2130863588534,301.9392085618347,2.1410211027432697,49,,,0.15,8,8.89127086715791,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1013,1013,50,sa,-557.6150722794196,-557.6150722794196,1,0.764,-138.85540553251104,292.5675807186434,2.137324040680225,49,,,0.15,8,8.618586007166467,,,100000,100000,,,,,
portfolio_card,portfolio_card_N50_seed1014,1014,50,sa,-614.7129725931447,-614.7129725931447,1,0.795,-153.03978283152162,322.67568003745396,2.1418760575733793,49,,,0.15,8,9.50382709929751,,,100000,100000,,,,,
