benchmark_family,instance_id,seed,N,solver,raw_objective,energy_total,is_feasible,runtime_sec,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
portfolio_card,portfolio_card_N50_seed1000,1000,50,sa_echo,-587.2885054522791,-587.2885054522791,1,0.861,-146.114681941629,308.10356230209254,2.1363071559885594,49,,,0.15,8,9.073051255113446,,,100000,50000,50000,0.5,113.41314068891822,6,2
portfolio_card,portfolio_card_N50_seed1001,1001,50,sa_echo,-550.8398660053346,-550.8398660053346,1,0.848,-137.01527446540413,288.75572737091863,2.1401778683330726,49,,,0.15,8,8.503910820307418,,,100000,50000,50000,0.5,106.29888525384274,6,2
portfolio_card,portfolio_card_N50_seed1002,1002,50,sa_echo,-543.3548282423864,-543.3548282423864,1,0.845,-135.18281686176456,284.9394949283563,2.134259513473405,49,,,0.15,8,8.390570768920496,,,100000,50000,50000,0.5,104.88213461150639,6,2
portfolio_card,portfolio_card_N50_seed1003,1003,50,sa_echo,-590.264813684188,-590.264813684188,1,0.866,-146.74867258834004,309.35011528152916,2.1331890402415037,49,,,0.15,8,9.112173551970418,,,100000,50000,50000,0.5,113.90216939963035,6,0
portfolio_card,portfolio_card_N50_seed1004,1004,50,sa_echo,-610.25420164213,-610.25420164213,1,0.825,-151.86590225818912,320.2366458840777,2.138787834748222,49,,,0.15,8,9.43091371021851,,,100000,50000,50000,0.5,117.8864213777315,6,0
portfolio_card,portfolio_card_N50_seed1005,1005,50,sa_echo,-578.4915483154764,-578.4915483154764,1,0.961,-143.84940436525847,303.2340699309894,2.141494030148337,49,,,0.15,8,8.931946396291007,,,100000,50000,50000,0.5,111.64932995363759,6,0
portfolio_card,portfolio_card_N50_seed1006,1006,50,sa_echo,-543.3232345748197,-543.3232345748197,1,0.842,-135.07031824134876,284.732161430352,2.1413336647083407,49,,,0.15,8,8.384398851017243,,,100000,50000,50000,0.5,104.80498563771555,6,0
portfolio_card,portfolio_card_N50_seed1007,1007,50,sa_echo,-568.2552869555237,-568.2552869555237,1,0.858,-141.28128185724378,297.7412100371289,2.1367256196364006,49,,,0.15,8,8.770270280725134,,,100000,50000,50000,0.5,109.62837850906418,6,1
portfolio_card,portfolio_card_N50_seed1008,1008,50,sa_echo,-597.0370392488772,-597.0370392488772,1,0.836,-148.52538770345055,313.2088975372933,2.14255319218792,49,,,0.15,8,9.222374211226857,,,100000,50000,50000,0.5,115.27967764033573,6,1
portfolio_card,portfolio_card_N50_seed1009,1009,50,sa_echo,-595.4345237179326,-595.4345237179326,1,0.834,-148.05198808107792,312.1145282133025,2.1377436724071006,49,,,0.15,8,9.193620048887073,,,100000,50000,50000,0.5,114.92025061108848,6,1
portfolio_card,portfolio_card_N50_seed1010,1010,50,sa_echo,-588.9065005695281,-588.9065005695281,1,0.814,-146.3571301554126,308.487709762867,2.136396862368478,49,,,0.15,8,9.08712920243065,,,100000,50000,50000,0.5,113.58911503038318,6,1
portfolio_card,portfolio_card_N50_seed1011,1011,50,sa_echo,-596.2504262809854,-596.2504262809854,1,0.813,-148.36157748849703,312.8723128075869,2.1388563837808894,49,,,0.15,8,9.211832959366518,,,100000,50000,50000,0.5,115.14791199208149,6,0
portfolio_card,portfolio_card_N50_seed1012,1012,50,sa_echo,-576.0478457515574,-576.0478457515574,1,0.837,-143.2130863588534,301.9392085618347,2.1410211027432697,49,,,0.15,8,8.89127086715791,,,100000,50000,50000,0.5,111.14088583947408,6,0
portfolio_card,portfolio_card_N50_seed1013,1013,50,sa_echo,-558.3634912244457,-558.3634912244457,1,0.843,-138.85540553251104,292.5675807186434,2.137324040680225,49,,,0.15,8,8.618586007166467,,,100000,50000,50000,0.5,107.73232508958091,6,1
portfolio_card,portfolio_card_N50_seed1014,1014,50,sa_echo,-615.3895758646761,-615.3895758646761,1,0.837,-153.03978283152162,322.67568003745396,2.1418760575733793,49,,,0.15,8,9.50382709929751,,,100000,50000,50000,0.5,118.7978387412189,6,0
portfolio_card,portfolio_card_N50_seed1015,1015,50,sa_echo,-584.1029726380348,-584.1029726380348,1,0.833,-145.24286037626524,306.1560915328822,2.135539773287942,49,,,0.15,8,9.017900168678892,,,100000,50000,50000,0.5,112.72375210848637,6,1
portfolio_card,portfolio_card_N50_seed1016,1016,50,sa_echo,-567.4989873646784,-567.4989873646784,1,0.864,-141.13535175569288,297.59097799562505,2.1353404462496095,49,,,0.15,8,8.761177346763999,,,100000,50000,50000,0.5,109.51471683454999,6,0
portfolio_card,portfolio_card_N50_seed1017,1017,50,sa_echo,-595.640254643884,-595.640254643884,1,0.824,-148.2201351608503,312.6441661090215,2.141483111015007,49,,,0.15,8,9.204238312952878,,,100000,50000,50000,0.5,115.05297891191108,6,0
portfolio_card,portfolio_card_N50_seed1018,1018,50,sa_echo,-569.8048635733601,-569.8048635733601,1,0.843,-141.81917358256882,298.9498029368466,2.144626038102641,49,,,0.15,8,8.8044312174049,,,100000,50000,50000,0.5,110.05539021756134,6,2
portfolio_card,portfolio_card_N50_seed1019,1019,50,sa_echo,-615.1487269613223,-615.1487269613223,1,0.839,-153.00626753913266,322.7309595505419,2.1330297769933915,49,,,0.15,8,9.502066128128623,,,100000,50000,50000,0.5,118.7758266016078,6,1
portfolio_card,portfolio_card_N100_seed1000,1000,100,sa_echo,-2152.7505157101295,-2152.7505157101295,1,2.093,-286.2727037003765,665.2417398204354,2.3386566811973792,99,,,0.15,15,9.509987413009638,,,200000,80000,80000,0.4,237.7496853252411,6,0
