benchmark_family,instance_id,seed,N,sa_raw_objective,sa_echo_raw_objective,pair_complete,gap_echo_to_sa,echo_beats_sa,echo_ties_sa,echo_loses_sa,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
portfolio_card,portfolio_card_N100_seed1000,1000,100,-2149.104785918953,-2152.750515710129,1,-3.645729791176109,1,0,0,-286.2727037003765,665.2417398204354,2.3386566811973792,99,,,0.15,15,9.509987413009638,,,200000,80000,80000,0.4,237.7496853252411,6,0
portfolio_card,portfolio_card_N100_seed1001,1001,100,-2109.6758875430974,-2112.512868057027,1,-2.836980513929575,1,0,0,-280.9919453139015,653.0257907119089,2.340730518650051,99,,,0.15,15,9.334166801020498,,,200000,80000,80000,0.4,233.3541700255128,6,2
portfolio_card,portfolio_card_N100_seed1002,1002,100,-2094.427516127153,-2097.6015412552238,1,-3.1740251280707525,1,0,0,-278.9882162736819,648.3080950583412,2.339470101245172,99,,,0.15,15,9.267332362596246,,,200000,80000,80000,0.4,231.68330906490635,6,0
portfolio_card,portfolio_card_N100_seed1003,1003,100,-2143.658740865528,-2147.0670850120264,1,-3.408344146498166,1,0,0,-285.4975371655136,663.4463543505742,2.33854197758605,99,,,0.15,15,9.484323009417404,,,200000,80000,80000,0.4,237.10807523543545,6,0
portfolio_card,portfolio_card_N100_seed1004,1004,100,-2173.812391229099,-2176.4336600677043,1,-2.621268838605374,1,0,0,-289.4247290636604,672.5637370020024,2.338196142774599,99,,,0.15,15,9.614992983556144,,,200000,80000,80000,0.4,240.37482458890395,6,0
portfolio_card,portfolio_card_N100_seed1005,1005,100,-2133.2009978121546,-2136.4623047880577,1,-3.261306975903153,1,0,0,-284.1001766961881,660.1714194035953,2.341670826968554,99,,,0.15,15,9.437845843696074,,,200000,80000,80000,0.4,235.94614609240216,6,2
portfolio_card,portfolio_card_N100_seed1006,1006,100,-2144.492796030344,-2148.341883640043,1,-3.849087609698927,1,0,0,-285.6893332191345,663.9182295361168,2.340499040414241,99,,,0.15,15,9.490472116606153,,,200000,80000,80000,0.4,237.2618029151541,6,1
portfolio_card,portfolio_card_N100_seed1007,1007,100,-2123.560645424862,-2126.538714993489,1,-2.978069568627234,1,0,0,-282.7205552887403,656.8925157568967,2.3385092662806994,99,,,0.15,15,9.391509346876198,,,200000,80000,80000,0.4,234.7877336719053,6,1
portfolio_card,portfolio_card_N100_seed1008,1008,100,-2142.896994994768,-2146.465899897244,1,-3.5689049024758788,1,0,0,-285.4330467492945,663.3141112467595,2.340264453194819,99,,,0.15,15,9.482183577776212,,,200000,80000,80000,0.4,237.05458944440548,6,0
portfolio_card,portfolio_card_N100_seed1009,1009,100,-2179.354670051598,-2183.477922857849,1,-4.123252806251003,1,0,0,-290.2756508438675,674.5740698419454,2.338659665162909,99,,,0.15,15,9.643328551710235,,,200000,80000,80000,0.4,241.0832137927562,6,1
portfolio_card,portfolio_card_N100_seed1010,1010,100,-2172.6055909127167,-2175.137379721238,1,-2.531788808521469,1,0,0,-289.25560271064523,672.1445208651146,2.338121678581357,99,,,0.15,15,9.609317741651966,,,200000,80000,80000,0.4,240.2329435412992,6,1
portfolio_card,portfolio_card_N100_seed1011,1011,100,-2151.0397965792936,-2153.9804567002325,1,-2.940660120938901,1,0,0,-286.5513127334462,665.9173121633601,2.340179427470225,99,,,0.15,15,9.519098842685132,,,200000,80000,80000,0.4,237.9774710671288,6,2
portfolio_card,portfolio_card_N100_seed1012,1012,100,-2057.165158131791,-2060.507503783305,1,-3.342345651513824,1,0,0,-273.9172947479344,636.3823216239564,2.3384289462160743,99,,,0.15,15,9.098341326667652,,,200000,80000,80000,0.4,227.45853316669147,6,2
portfolio_card,portfolio_card_N100_seed1013,1013,100,-2200.04294979889,-2203.0573958519167,1,-3.014446053026859,1,0,0,-292.9613500111997,680.8277636965179,2.338288366234456,99,,,0.15,15,9.7328288996468,,,200000,80000,80000,0.4,243.32072249117036,6,1
portfolio_card,portfolio_card_N100_seed1014,1014,100,-2196.2636490189807,-2199.772386829693,1,-3.5087378107123186,1,0,0,-292.4905866817342,679.7253538348032,2.3388935451011124,99,,,0.15,15,9.716881479165282,,,200000,80000,80000,0.4,242.92203697913249,6,1
portfolio_card,portfolio_card_N100_seed1015,1015,100,-2175.523367318576,-2178.771922470745,1,-3.248555152168592,1,0,0,-289.6432122076299,673.0462134207303,2.337329987187461,99,,,0.15,15,9.622101571413772,,,200000,80000,80000,0.4,240.5525392853446,6,1
portfolio_card,portfolio_card_N100_seed1016,1016,100,-2107.0431210202014,-2109.7193969834893,1,-2.676275963287935,1,0,0,-280.56127858115,651.9868390484692,2.339159416660708,99,,,0.15,15,9.319968486324736,,,200000,80000,80000,0.4,232.99921215811867,6,1
portfolio_card,portfolio_card_N100_seed1017,1017,100,-2081.8448321342,-2085.6581419072763,1,-3.8133097730765257,1,0,0,-277.2157837462876,644.0967911705784,2.341184725786801,99,,,0.15,15,9.208281447019274,,,200000,80000,80000,0.4,230.20703617548207,6,1
portfolio_card,portfolio_card_N100_seed1018,1018,100,-2144.156589758089,-2147.463482052799,1,-3.3068922947099963,1,0,0,-285.59374146466206,663.6658589909639,2.339960700341478,99,,,0.15,15,9.487159827313132,,,200000,80000,80000,0.4,237.1789956828285,6,0
