scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1019,20,2,OPTIMAL,-1346291.1720111147,-734.1476013014369,0.0,-1345557.024409813,0.0,0.007160900000000026,0.006000041961669922,2,False,True,0.0,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1019,30,2,OPTIMAL,-4119113.053658707,-445.7591273208759,0.0,-4118667.294531386,0.0,0.01148119999999997,0.009999990463256836,3,False,True,1.13048921270594e-16,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1019,40,2,OPTIMAL,-8907132.195879448,-133.66651737033135,0.0,-8906998.52936208,0.0,0.012666899999999981,0.013000011444091797,4,False,True,2.0911839055141005e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1019,50,2,OPTIMAL,-17608269.76730274,872.8172289388121,0.0,-17609142.584531676,0.0,0.027125100000000013,0.026999950408935547,5,False,True,2.1156481288011066e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1019,20,2,OPTIMAL,-1014681.5687528157,61764.050775034775,269111.40488196263,-1076445.6195278505,0.0,0.005229800000000007,0.005000114440917969,2,False,False,0.0,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1019,30,2,OPTIMAL,-3495008.8560119,211791.7090663476,411866.7294531386,-3706800.5650782473,0.0,0.006688000000000027,0.006999969482421875,3,False,False,1.332360822224348e-16,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1019,40,2,OPTIMAL,-8014621.449844107,368435.9895554978,523941.08996247535,-8383057.439399606,0.0,0.013091699999999984,0.013000011444091797,4,False,False,1.162029398947587e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1019,50,2,OPTIMAL,-16208540.363793358,1400602.2207383215,0.0,-17609142.584531676,0.0,0.01453199999999999,0.014999866485595703,5,False,True,2.2983502615593126e-16,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1019,20,2,OPTIMAL,-2689287.6263830448,1826.4224365815817,0.0,-2691114.048819626,0.0,0.005046200000000001,0.003999948501586914,3,False,True,0.0,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1019,30,2,OPTIMAL,-10702668.184334096,5866.78144750873,0.0,-10708534.965781605,0.0,0.00592769999999998,0.006000041961669922,5,False,True,0.0,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1019,40,2,OPTIMAL,-19379641.45455413,6178.874057459274,0.0,-19385820.328611586,0.0,0.0055126999999999815,0.00599980354309082,6,False,True,1.9222699796576926e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1019,50,2,OPTIMAL,-33857892.673301466,5843.066182517177,0.0,-33863735.73948399,0.0,0.013255599999999979,0.012999773025512695,7,False,True,2.200544690957379e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1019,20,2,OPTIMAL,-1345791.1720111147,-234.1476013014369,0.0,-1345557.024409813,0.0,0.006754700000000002,0.006999969482421875,2,True,True,0.0,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1019,30,2,OPTIMAL,-4118613.053658707,54.240872679124095,0.0,-4118667.294531386,0.0,0.011171500000000001,0.01100015640258789,3,True,True,1.130626454199372e-16,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1019,40,2,OPTIMAL,-8906632.195879448,366.33348262966865,0.0,-8906998.52936208,0.0,0.012417999999999985,0.012000083923339844,4,True,True,2.0913013002745175e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1019,50,2,OPTIMAL,-17607769.76730274,1372.8172289388121,0.0,-17609142.584531676,0.0,0.02676350000000005,0.026000022888183594,5,True,True,2.1157082059192415e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
