scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1018,20,2,OPTIMAL,-1746446.282382134,285.8398265416554,0.0,-1746732.122208676,0.0,0.006525200000000009,0.006000041961669922,2,False,True,1.3331680796748646e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1018,30,2,OPTIMAL,-4111365.4186583115,-567.5290931774678,0.0,-4110797.889565135,0.0,0.010747500000000021,0.009999990463256836,3,False,True,2.2652391110479375e-16,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1018,40,2,OPTIMAL,-10007176.37410319,728.3891661391003,0.0,-10007904.763269328,0.0,0.01401150000000001,0.01399993896484375,4,False,True,1.861309403970489e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1018,50,2,OPTIMAL,-18585954.646709472,970.1077107269475,0.0,-18586924.7544202,0.0,0.033707600000000004,0.03399991989135742,5,False,True,0.0,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1018,20,2,OPTIMAL,-872482.3095118167,524903.3882551241,349346.4244417352,-1397385.6977669408,0.0,0.006961700000000015,0.006000041961669922,2,False,False,0.0,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1018,30,2,OPTIMAL,-3490422.255060106,209295.84554851498,411079.78895651345,-3699718.1006086213,0.0,0.01322319999999999,0.009000062942504883,3,False,False,1.334111615385974e-16,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1018,40,2,OPTIMAL,-8683005.249273375,736199.2338036391,588700.2801923134,-9419204.483077014,0.0,0.012160300000000013,0.012000083923339844,4,False,False,0.0,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1018,50,2,OPTIMAL,-17078341.625178244,1508583.1292419543,0.0,-18586924.7544202,0.0,0.020912899999999957,0.019999980926513672,5,False,True,0.0,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1018,20,2,OPTIMAL,-3491157.4342655726,2306.810151779272,0.0,-3493464.244417352,0.0,0.005420099999999983,0.005000114440917969,3,False,True,1.3338306738541554e-16,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1018,30,2,OPTIMAL,-10685325.153377973,2749.3594913767165,0.0,-10688074.51286935,0.0,0.005426600000000004,0.005000114440917969,5,False,True,1.743180598151583e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1018,40,2,OPTIMAL,-21776391.214592613,5519.15252298487,0.0,-21781910.367115594,0.0,0.005577899999999969,0.004999876022338867,6,False,True,1.7107014021522326e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1018,50,2,OPTIMAL,-35739799.0698974,4286.996295281133,0.0,-35744086.06619269,0.0,0.01173289999999999,0.010999917984008789,7,False,True,2.0846733308020293e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1018,20,2,OPTIMAL,-1745946.282382134,785.8398265416554,0.0,-1746732.122208676,0.0,0.006924900000000012,0.006999969482421875,2,True,True,1.3335498692216358e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1018,30,2,OPTIMAL,-4110865.4186583115,-67.52909317746776,0.0,-4110797.889565135,0.0,0.011159599999999992,0.009999990463256836,3,True,True,2.2655146295678053e-16,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1018,40,2,OPTIMAL,-10006676.37410319,1228.3891661391003,0.0,-10007904.763269328,0.0,0.013515200000000005,0.013000011444091797,4,True,True,1.8614024073481534e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1018,50,2,OPTIMAL,-18585454.646709472,1470.1077107269475,0.0,-18586924.7544202,0.0,0.027207199999999987,0.026999950408935547,5,True,True,0.0,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
