scenario_id,scenario_name,seed,N,M,K,L,echo_raw_objective,echo_energy,echo_feasible,echo_runtime_sec,echo_chosen_premium_band,echo_chosen_deductible_band,echo_selected_features_count,echo_selected_reg_features_count,echo_tau0,echo_num_stages,echo_best_stage,echo_steps_used,echo_final_condition_number,echo_final_negative_eigs,echo_final_roughness,sa_raw_objective,sa_energy,sa_feasible,sa_runtime_sec,greedy_raw_objective,greedy_energy,greedy_feasible,gurobi_ran,gurobi_raw_objective,gurobi_energy,gurobi_feasible,gurobi_status,gap_echo_to_sa,gap_echo_to_greedy,gap_echo_to_gurobi,echo_beats_sa,echo_ties_sa,echo_loses_sa,echo_beats_greedy,echo_ties_greedy,echo_beats_gurobi,echo_ties_gurobi,echo_loses_gurobi,w_onehot,w_reg,w_aff
1,S1_cost_only,1000,20,4,5,2,-35.08787595833087,-1356787.8503304468,1,19.130326986312863,5,3,2,2,1000000.0,7,6,800000,24573.88465476624,10,770229.4424322806,-35.08787595833087,-1356787.8503304468,1.0,20.0993455,564.9121240416691,-1356187.8503304468,1,1,-35.08787595833087,-1356787.8503304468,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,135675.27624544883,271350.5524908977,0.0
1,S1_cost_only,1001,20,4,5,2,-220.0535920322436,-1129904.7402950183,1,21.8050274848938,5,3,2,2,989943.0622415493,7,6,800000,25645.26953419508,10,641293.6939682183,-220.0535920322436,-1129904.7402950183,1.0,19.9937326,3341.384998974352,-1126343.301704012,1,1,-220.0535920322436,-1129904.7402950183,1,OPTIMAL,0.0,-3561.438591006596,0.0,0,1,0,1,0,0,1,0,112968.4686702986,225936.9373405972,0.0
1,S1_cost_only,1002,20,4,5,2,-968.1087441067044,-815710.919794118,1,20.52723693847656,5,2,2,2,713959.3930976175,7,6,800000,16770.934620330027,10,462573.92548227456,-968.1087441067044,-815710.919794118,1.0,26.196857100000003,-546.8643135222819,-815289.6753635337,1,1,-968.1087441067044,-815710.919794118,1,OPTIMAL,1.1368683772161605e-13,-421.2444305844224,1.1368683772161605e-13,0,1,0,1,0,0,1,0,81474.28110500115,162948.5622100023,0.0
1,S1_cost_only,1003,20,4,5,2,-1310.5432520727998,-1668756.2649873751,1,20.12703347206116,5,1,2,2,1000000.0,8,7,800000,8340.04323405617,10,946673.421517327,-1310.5432520727998,-1668756.2649873751,1.0,19.9534468,1100.4614093649625,-1666345.2603259375,1,1,-1310.5432520727998,-1668756.2649873751,1,OPTIMAL,0.0,-2411.0046614377625,0.0,0,1,0,1,0,0,1,0,166744.57217353024,333489.1443470605,0.0
1,S1_cost_only,1004,20,4,5,2,-804.5183516374277,-1407745.8272024295,1,20.34255814552307,5,4,2,2,1000000.0,7,6,800000,22637.46086217492,10,798726.5583113594,-804.5183516374277,-1407745.8272024295,1.0,21.0770477,-4.518351637427713,-1406945.8272024295,1,1,-804.5183516374277,-1407745.8272024295,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,140694.13088507918,281388.2617701584,0.0
1,S1_cost_only,1005,20,4,5,2,652.4616438753992,-1616938.3093041098,1,20.0802161693573,5,4,2,2,1000000.0,8,7,800000,12598.90798210478,10,918300.3826885278,652.4616438753992,-1616938.3093041098,1.0,20.770895900000003,1252.4616438753992,-1616338.3093041098,1,1,652.4616438753992,-1616938.3093041098,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,161759.07709479853,323518.15418959706,0.0
1,S1_cost_only,1006,20,4,5,2,-925.8918707398266,-1187879.2551258097,1,20.12977600097656,5,4,2,2,1000000.0,7,6,800000,26309.95232179838,10,673852.590237278,-925.8918707398266,-1187879.2551258097,1.0,19.972159,-725.8918707398266,-1187679.2551258097,1,1,-925.8918707398266,-1187879.2551258097,1,OPTIMAL,0.0,-200.0,0.0,0,1,0,1,0,0,1,0,118695.33632550696,237390.67265101397,0.0
1,S1_cost_only,1007,20,4,5,2,-599.8367408470924,-1034533.9113866764,1,20.85528540611267,5,3,2,2,906036.7694263348,7,6,800000,20189.642336383706,10,587007.6943871294,-599.8367408470924,-1034533.9113866764,1.0,20.0984231,-99.8367408470924,-1034033.9113866764,1,1,-599.8367408470924,-1034533.9113866764,1,OPTIMAL,0.0,-500.0,0.0,0,1,0,1,0,0,1,0,103393.40746458294,206786.81492916588,0.0
1,S1_cost_only,1008,20,4,5,2,-83.56561677411582,-1221785.9286075055,1,20.09257936477661,5,1,2,2,1000000.0,7,6,800000,9827.452804165596,10,693595.571663173,-83.56561677411582,-1221785.9286075055,1.0,22.0287052,516.4343832258842,-1221185.9286075055,1,1,-83.56561677411582,-1221785.9286075055,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,122170.23629907316,244340.47259814636,0.0
1,S1_cost_only,1009,20,4,5,2,-1498.0774121283323,-1188958.243271514,1,19.96455931663513,5,1,2,2,1000000.0,8,7,800000,10957.791963680836,10,674192.6385681555,-1498.0774121283323,-1188958.243271514,1.0,20.435198,34.71897718771197,-1187425.446882198,1,1,-1498.0774121283323,-1188958.243271514,1,OPTIMAL,-2.273736754432321e-13,-1532.7963893160445,-2.273736754432321e-13,0,1,0,1,0,0,1,0,118746.01658593856,237492.03317187715,0.0
1,S1_cost_only,1010,20,4,5,2,-758.5425285719994,-1483641.937820247,1,20.098151922225952,5,1,2,2,1000000.0,7,6,800000,26304.205328952725,10,841859.7867052004,-758.5425285719994,-1483641.937820247,1.0,20.3223724,-158.54252857199936,-1483041.937820247,1,1,-758.5425285719994,-1483641.937820247,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,148288.3395291675,296576.679058335,0.0
1,S1_cost_only,1011,20,4,5,2,-972.1370127046148,-1346292.1005377686,1,20.6536648273468,5,4,2,2,1000000.0,7,6,800000,21112.06591847161,10,763827.7040761828,-972.1370127046148,-1346292.1005377686,1.0,20.7571508,-603.5009013850022,-1345923.464426449,1,1,-972.1370127046148,-1346292.1005377686,1,OPTIMAL,0.0,-368.6361113196126,0.0,0,1,0,1,0,0,1,0,134531.9963525064,269063.9927050128,0.0
1,S1_cost_only,1012,20,4,5,2,588.8875981818101,-1412100.719239741,1,19.911652326583862,5,1,2,2,1000000.0,7,6,800000,26963.949156985032,10,801946.348031548,588.8875981818101,-1412100.719239741,1.0,20.676833,588.8875981818101,-1412100.719239741,1,1,588.8875981818101,-1412100.719239741,1,OPTIMAL,0.0,0.0,0.0,0,1,0,0,1,0,1,0,141268.96068379228,282537.9213675845,0.0
1,S1_cost_only,1013,20,4,5,2,-385.41355582005417,-1506821.248540038,1,20.385263204574585,5,1,2,2,1000000.0,7,6,800000,33786.55183579875,10,855209.4610938467,-385.41355582005417,-1506821.248540038,1.0,24.0697588,414.5864441799458,-1506021.248540038,1,1,-385.41355582005417,-1506821.248540038,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,150643.5834984218,301287.1669968436,0.0
1,S1_cost_only,1014,20,4,5,2,2973.555023831288,-1206271.885158862,1,21.92852783203125,5,3,2,2,1000000.0,7,6,800000,27687.037613624823,10,686363.2746439817,2973.555023831288,-1206271.885158862,1.0,21.105175,3773.555023831288,-1205471.885158862,1,1,2973.555023831288,-1206271.885158862,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,120924.54401826931,241849.08803653863,0.0
1,S1_cost_only,1015,20,4,5,2,582.0854863114496,-1371836.161257156,1,20.01457715034485,5,1,2,2,1000000.0,7,6,800000,26127.185335818594,10,779100.1340061672,582.0854863114496,-1371836.161257156,1.0,20.3434939,582.0854863114496,-1371836.161257156,1,1,582.0854863114496,-1371836.161257156,1,OPTIMAL,0.0,0.0,0.0,0,1,0,0,1,0,1,0,137241.82467434675,274483.6493486935,0.0
1,S1_cost_only,1016,20,4,5,2,1921.9515889192044,-1368558.1749144697,1,20.194986820220947,5,2,2,2,1000000.0,8,7,800000,10431.34372804012,10,778026.3862671044,-1373.212857905566,-1371853.3393612942,1.0,20.5606658,2699.5646679958727,-1367780.5618353928,1,1,-1373.212857905566,-1371853.3393612942,1,OPTIMAL,3295.1644468247705,-777.6130790766683,3295.1644468247705,0,0,1,1,0,0,0,1,137048.01265033885,274096.0253006777,0.0
1,S1_cost_only,1017,20,4,5,2,-560.3334187695946,-1116105.5329455012,1,19.901798248291016,5,2,2,2,977552.624981894,7,6,800000,13188.255933214608,10,633263.4355340231,-560.3334187695946,-1116105.5329455012,1.0,20.8484765,39.66658123040543,-1115505.5329455012,1,1,-560.3334187695946,-1116105.5329455012,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,111554.51995267314,223109.0399053463,0.0
1,S1_cost_only,1018,20,4,5,2,285.8398265416554,-1746446.282382134,1,20.146645069122314,5,2,2,2,1000000.0,7,6,800000,18669.989867467277,10,991653.761054922,285.8398265416554,-1746446.282382134,1.0,20.5234656,885.8398265416554,-1745846.282382134,1,1,285.8398265416554,-1746446.282382134,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,174673.2122208676,349346.4244417352,0.0
1,S1_cost_only,1019,20,4,5,2,-734.1476013014369,-1346291.172011115,1,20.20991611480713,5,3,2,2,1000000.0,7,6,800000,13025.79510346112,10,763894.4418768869,-734.1476013014369,-1346291.172011115,1.0,20.2071534,1513.877965877563,-1344043.1464439358,1,1,-734.1476013014369,-1346291.172011115,1,OPTIMAL,0.0,-2248.025567179,0.0,0,1,0,1,0,0,1,0,134555.70244098132,269111.40488196263,0.0
1,S1_cost_only,1000,30,4,5,2,2132.3781194297853,-4429923.910022026,1,19.83027195930481,5,3,3,3,1000000.0,7,6,800000,51620.57825403425,11,1508662.4905510575,2132.3781194297853,-4429923.910022026,1.0,22.9168334,2632.3781194297853,-4429423.910022026,1,1,2132.3781194297853,-4429923.910022026,1,OPTIMAL,0.0,-500.0,0.0,0,1,0,1,0,0,1,0,221602.8144070728,443205.6288141456,0.0
1,S1_cost_only,1001,30,4,5,2,194.86083839937191,-3902088.00944241,1,20.29934072494507,5,2,3,3,1000000.0,7,6,800000,56965.16723431629,11,1328352.6203557623,194.86083839937191,-3902088.00944241,1.0,21.5167955,2274.1104594357093,-3900008.7598213735,1,1,194.86083839937191,-3902088.00944241,1,OPTIMAL,0.0,-2079.249621036337,0.0,0,1,0,1,0,0,1,0,195114.14351404045,390228.2870280809,0.0
1,S1_cost_only,1002,30,4,5,2,-295.1084018005206,-3216622.306329354,1,20.0398473739624,5,2,3,3,1000000.0,7,6,800000,50528.0618977128,12,1142220.3247049346,-73.86397121609821,-3216401.0618987703,1.0,20.0182132,504.8915981994794,-3215822.306329354,1,1,-295.1084018005206,-3216622.306329354,1,OPTIMAL,-221.2444305844224,-800.0,0.0,1,0,0,1,0,0,1,0,160816.35989637772,321632.71979275544,0.0
1,S1_cost_only,1003,30,4,5,2,1244.9865651421003,-4480670.149122939,1,20.05288982391357,5,3,3,3,1000000.0,7,6,800000,65689.78659501832,12,1591623.1005489698,1244.9865651421003,-4480670.149122939,1.0,21.4242445,2935.3044614537857,-4478979.831226627,1,1,1244.9865651421003,-4480670.149122939,1,OPTIMAL,2.273736754432321e-13,-1690.3178963116852,2.273736754432321e-13,0,1,0,1,0,0,1,0,224095.75678440408,448191.51356880815,0.0
1,S1_cost_only,1004,30,4,5,2,4620.375756621436,-4633823.84560803,1,19.759881734848022,5,4,3,3,1000000.0,7,6,800000,66163.4883353754,12,1647142.5196378897,1564.3434903345849,-4636879.877874318,1.0,21.1423625,2364.3434903345847,-4636079.877874318,1,1,1564.3434903345849,-4636879.877874318,1,OPTIMAL,3056.032266286851,2256.032266286852,3056.032266286851,0,0,1,0,0,0,0,1,231922.21106823263,463844.4221364653,0.0
1,S1_cost_only,1005,30,4,5,2,-330.53714227923183,-4570389.840704489,1,19.979130029678345,5,3,3,3,1000000.0,8,7,800000,23272.117828598264,12,1623021.892479182,-330.53714227923183,-4570389.840704489,1.0,22.3076486,2183.151228882789,-4567876.152333327,1,1,-330.53714227923183,-4570389.840704489,1,OPTIMAL,0.0,-2513.6883711620208,0.0,0,1,0,1,0,0,1,0,228502.9651781105,457005.9303562209,0.0
1,S1_cost_only,1006,30,4,5,2,335.10968578148504,-3999349.6994645246,1,19.934505462646484,5,3,3,3,1000000.0,7,6,800000,57010.75185660045,11,1361528.020923781,335.10968578148504,-3999349.6994645246,1.0,20.1126029,2168.571127569689,-3997516.238022736,1,1,335.10968578148504,-3999349.6994645246,1,OPTIMAL,0.0,-1833.461441788204,0.0,0,1,0,1,0,0,1,0,199984.2404575153,399968.4809150306,0.0
1,S1_cost_only,1007,30,4,5,2,-490.6452285162354,-3088334.878881067,1,19.81123924255371,5,2,3,3,1000000.0,7,6,800000,39422.36812328557,12,1096661.1785349967,-343.2337150675876,-3088187.467367619,1.0,20.0357354,417.1025146011914,-3087427.13113795,1,1,-490.6452285162354,-3088334.878881067,1,OPTIMAL,-147.41151344864784,-907.7477431174268,0.0,1,0,0,1,0,0,1,0,154392.21168262756,308784.4233652551,0.0
