scenario_id,scenario_name,seed,N,M,K,L,echo_raw_objective,echo_energy,echo_feasible,echo_runtime_sec,echo_chosen_premium_band,echo_chosen_deductible_band,echo_selected_features_count,echo_selected_reg_features_count,echo_tau0,echo_num_stages,echo_best_stage,echo_steps_used,echo_final_condition_number,echo_final_negative_eigs,echo_final_roughness,sa_raw_objective,sa_energy,sa_feasible,sa_runtime_sec,greedy_raw_objective,greedy_energy,greedy_feasible,gurobi_ran,gurobi_raw_objective,gurobi_energy,gurobi_feasible,gurobi_status,gap_echo_to_sa,gap_echo_to_greedy,gap_echo_to_gurobi,echo_beats_sa,echo_ties_sa,echo_loses_sa,echo_beats_greedy,echo_ties_greedy,echo_beats_gurobi,echo_ties_gurobi,echo_loses_gurobi,w_onehot,w_reg,w_aff,sa_temperature_mode,sa_T0_used,sa_Tend_used,sa_auto_temperature
1,S1_cost_only,2000,300,4,5,5,21019.322417937427,-2883567092.217125,1,34.57262897491455,5,4,27,27,1000000.0,7,6,800000,35280676.165295936,52,296977126.2832211,142596.18039804153,-2883445515.359145,1,29.808597399969585,30166.80887221653,-2883557944.730671,1,0,,,0,not_run,-121576.8579801041,-9147.486454279104,,1,0,0,1,0,0,0,0,1975060.3503695491,3950120.7007390982,395012070.0739098,auto,24955900.649127588,24955.900649127587,1
1,S1_cost_only,2001,300,4,5,5,27079.22824663783,-2943986215.037393,1,34.41246485710144,5,3,27,27,1000000.0,7,6,800000,35978884.43433499,52,303200233.79539853,152375.77083331996,-2943860918.494806,1,30.845608000061475,32370.23936183554,-2943980924.026278,1,0,,,0,not_run,-125296.54258668213,-5291.011115197711,,1,0,0,1,0,0,0,0,2016447.4618257792,4032894.9236515583,403289492.3651558,auto,36911942.48144308,36911.94248144308,1
1,S1_cost_only,2002,300,4,5,5,29494.566470469363,-3009648628.0767574,1,34.51342296600342,5,4,27,27,1000000.0,7,6,800000,40249191.41517417,52,309962959.90110093,147458.8968429918,-3009530663.746384,1,30.118433200055733,32285.738747203257,-3009645836.9044805,1,0,,,0,not_run,-117964.33037252243,-2791.1722767338943,,1,0,0,1,0,0,0,0,2061423.3716734417,4122846.7433468834,412284674.33468837,auto,45867688.00895967,45867.68800895968,1
1,S1_cost_only,2003,300,4,5,5,23627.970412038823,-2837371887.3765326,1,35.007997035980225,5,2,27,27,1000000.0,7,6,800000,35944034.663208246,52,292219796.91309565,147301.62847385727,-2837248213.7184715,1,30.390793600003235,32750.067340117763,-2837362765.2796044,1,0,,,0,not_run,-123673.65806181845,-9122.09692807894,,1,0,0,1,0,0,0,0,1943421.5858540703,3886843.1717081405,388684317.17081404,auto,31416286.49903798,31416.286499037986,1
1,S1_cost_only,2004,300,4,5,5,26393.47707878137,-2886100932.855912,1,34.727248430252075,5,4,27,27,1000000.0,7,6,800000,38872996.74622183,52,297238627.1119073,147894.72221985468,-2885979431.610772,1,30.551227799966,37952.23491497237,-2886089374.0980773,1,0,,,0,not_run,-121501.2451410733,-11558.757836190998,,1,0,0,1,0,0,0,0,1976799.5385842416,3953599.0771684833,395359907.7168483,auto,47888970.678640015,47888.97067864001,1
1,S1_cost_only,2005,300,4,5,5,26881.319709975727,-2764811068.737012,1,34.62644553184509,5,3,27,27,1000000.0,7,6,800000,35652710.82230059,52,284747178.7878132,144297.88743385833,-2764693652.169288,1,30.821699700085446,27889.04376689568,-2764810061.0129547,1,0,,,0,not_run,-117416.5677238826,-1007.724056919953,,1,0,0,1,0,0,0,0,1893724.6233265232,3787449.2466530465,378744924.66530466,auto,21077979.95167511,21077.97995167511,1
1,S1_cost_only,2006,300,4,5,5,26945.846758684056,-2888826915.3321495,1,34.547566175460815,5,4,27,27,1000000.0,7,6,800000,37040006.99938538,52,297519434.2309304,145046.92723410475,-2888708814.2516747,1,30.665628800052215,29125.52326733338,-2888824735.6556416,1,0,,,0,not_run,-118101.08047542069,-2179.676508649325,,1,0,0,1,0,0,0,0,1978667.0282047307,3957334.0564094614,395733405.64094615,auto,27148321.169547644,27148.32116954765,1
1,S1_cost_only,2007,300,4,5,5,25378.903146743065,-2868964529.2232356,1,34.543397426605225,5,3,27,27,1000000.0,7,6,800000,37639712.47659322,52,295473677.5163543,151409.90925980752,-2868838498.217122,1,31.209153300034814,23696.37840222656,-2868966211.74798,1,0,,,0,not_run,-126031.00611306446,1682.5247445165041,,1,0,0,0,0,0,0,0,1965061.5809084813,3930123.1618169625,393012316.18169624,auto,24672254.391937185,24672.254391937186,1
1,S1_cost_only,2008,300,4,5,5,28212.470903251062,-2921720482.9334083,1,34.9255690574646,5,4,27,27,1000000.0,7,6,800000,40140500.64368929,52,300907228.96081084,152168.0016026114,-2921596527.4027085,1,30.77544399991166,30835.488445523544,-2921717859.915866,1,0,,,0,not_run,-123955.53069936033,-2623.0175422724824,,1,0,0,1,0,0,0,0,2001197.7365782969,4002395.4731565937,400239547.3156594,auto,45177931.86107344,45177.93186107343,1
1,S1_cost_only,2009,300,4,5,5,30021.47319338656,-2921277298.2588367,1,34.41496181488037,5,4,27,27,1000000.0,7,6,800000,39209751.59238037,52,300861759.9403766,143192.71209094592,-2921164127.0199394,1,31.026408200035803,31721.48273132081,-2921275598.249299,1,0,,,0,not_run,-113171.23889755936,-1700.0095379342529,,1,0,0,1,0,0,0,0,2000895.4244739923,4001790.8489479846,400179084.89479846,auto,61768516.432534695,61768.5164325347,1
