scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1014,20,2,OPTIMAL,-1206271.885158862,2973.555023831288,0.0,-1209245.440182693,0.0,0.009526900000000005,0.009000062942504883,2,False,True,1.9301672078944839e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1014,30,2,OPTIMAL,-3523970.4164008456,1908.2670575653742,0.0,-3525878.6834584116,0.0,0.010962599999999989,0.01100015640258789,3,False,True,1.3214108868238894e-16,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1014,40,2,OPTIMAL,-8237793.467259761,2642.8910821717554,0.0,-8240436.358341933,0.0,0.013202899999999962,0.013000011444091797,4,False,True,1.1305485847841678e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1014,50,2,OPTIMAL,-15892162.36384796,3065.3869870945864,0.0,-15895227.750835057,0.0,0.0150806,0.016000032424926758,5,False,True,2.3441053603481506e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1014,20,2,OPTIMAL,-243849.08803653863,-2000.0,967396.3521461545,-241849.08803653863,0.0,0.005051199999999978,0.004999876022338867,2,False,False,0.0,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1014,30,2,OPTIMAL,-2487556.811803838,685734.0033087326,352587.8683458411,-3173290.8151125703,0.0,0.006789199999999995,0.006999969482421875,3,False,False,0.0,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1014,40,2,OPTIMAL,-6708613.095273774,1047091.7125774566,484731.550490702,-7755704.807851232,0.0,0.011286200000000024,0.01100015640258789,4,False,False,1.3882490484830558e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1014,50,2,OPTIMAL,-14088037.492113745,1195835.3452276546,611354.9134936561,-15283872.837341402,0.0,0.01224270000000005,0.011999845504760742,5,False,False,1.322146644111102e-16,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1014,20,2,OPTIMAL,-2412635.527802327,5855.352563059667,0.0,-2418490.880365386,0.0,0.00540400000000002,0.005000114440917969,3,False,True,3.860187599342125e-16,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1014,30,2,OPTIMAL,-9159839.916825049,7444.660166821504,0.0,-9167284.57699187,0.0,0.00542699999999996,0.00599980354309082,5,False,True,2.0334909410475598e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1014,40,2,OPTIMAL,-17926888.083964545,8179.284191427885,0.0,-17935067.368155975,0.0,0.005681600000000009,0.006000041961669922,6,False,True,0.0,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1014,50,2,OPTIMAL,-22614411.81670816,5719.982557122337,0.0,-22620131.799265273,0.0,0.011815699999999985,0.010999917984008789,6,False,True,3.2946161312137823e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1014,20,2,OPTIMAL,-1205771.885158862,3473.555023831288,0.0,-1209245.440182693,0.0,0.006563600000000003,0.00599980354309082,2,True,True,1.9309675944483802e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1014,30,2,OPTIMAL,-3523470.4164008456,2408.267057565374,0.0,-3525878.6834584116,0.0,0.01146790000000003,0.01100015640258789,3,True,True,1.3215984023598046e-16,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1014,40,2,OPTIMAL,-8237293.467259762,3142.8910821717554,0.0,-8240436.358341933,0.0,0.01454359999999999,0.01399993896484375,4,True,True,0.0,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1014,50,2,OPTIMAL,-15891662.36384796,3565.3869870945864,0.0,-15895227.750835057,0.0,0.014553099999999985,0.014000177383422852,5,True,True,2.344179113027596e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
