scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,2006,60,2,OPTIMAL,-30855512.65074304,3425.5817519895845,0.0,-30858938.232495036,0.0,0.03473419999999999,0.03500008583068848,6,False,True,1.2073337884963658e-16,index_map_S1_cost_only_N60.json,qubo_Q_S1_cost_only_N60.npz,True
S1_cost_only,2006,100,2,OPTIMAL,-115733048.30155304,2047.106413968912,0.0,-115735095.40796702,0.0,0.7433745,0.7400000095367432,9,False,True,0.0,index_map_S1_cost_only_N100.json,qubo_Q_S1_cost_only_N100.npz,True
S2_risk_adjusted,2006,60,2,OPTIMAL,-28559476.414470673,1465436.460389362,834025.357635001,-30024912.874860037,0.0,0.02067800000000003,0.020999908447265625,6,False,False,1.3043972670921808e-16,index_map_S2_risk_adjusted_N60.json,qubo_Q_S2_risk_adjusted_N60.npz,True
S2_risk_adjusted,2006,100,2,OPTIMAL,-113952954.95900476,1782140.4489622756,0.0,-115735095.40796702,0.0,0.39889030000000003,0.3989999294281006,9,False,True,1.3076590422081144e-16,index_map_S2_risk_adjusted_N100.json,qubo_Q_S2_risk_adjusted_N100.npz,True
S3_tight_regulation,2006,60,2,OPTIMAL,-54203036.19827575,8612.047999322202,0.0,-54211648.24627506,0.0,0.011187699999999967,0.01100015640258789,8,False,True,2.7491377308346566e-16,index_map_S3_tight_regulation_N60.json,qubo_Q_S3_tight_regulation_N60.npz,True
S3_tight_regulation,2006,100,2,OPTIMAL,-239927145.5570035,11466.874147636312,0.0,-239938612.43115112,0.0,0.04961209999999999,0.04900002479553223,13,False,True,0.0,index_map_S3_tight_regulation_N100.json,qubo_Q_S3_tight_regulation_N100.npz,True
S4_affordability,2006,60,2,OPTIMAL,-30855012.65074304,3925.5817519895845,0.0,-30858938.232495036,0.0,0.033260100000000015,0.032000064849853516,6,True,True,1.2073533531259798e-16,index_map_S4_affordability_N60.json,qubo_Q_S4_affordability_N60.npz,True
S4_affordability,2006,100,2,OPTIMAL,-115732548.30155304,2547.106413968912,0.0,-115735095.40796702,0.0,0.7521725,0.7519998550415039,9,True,True,0.0,index_map_S4_affordability_N100.json,qubo_Q_S4_affordability_N100.npz,True
